n,k,inst,alg,J,gap_bp,sharpe_train,sharpe_test,runtime_s
40,5,1,oracle,0.00016902505104294434,0.0,1.1399569804537872,-0.41430614898373236,0.22738280007615685
40,5,1,top-eig,-0.0023536479332947505,25.226729843376948,0.15252018247843185,1.064407391564562,0.00021650001872330904
40,5,1,greedy,0.00016616368558695243,0.028613654559919103,1.14001987712172,0.16709158702321278,0.0011495000217109919
40,5,1,lasso,-0.0008693084334452987,10.383334844882432,0.6399663442292086,0.062075222087424914,0.006261799950152636
40,5,1,SA-1ch-10k,0.00016902505104294434,0.0,1.1399569804537872,-0.41430614898373236,0.07290679996367544
40,5,2,oracle,4.929836762005389e-05,0.0,0.9708996313160103,0.7563905840582745,0.2305816999869421
40,5,2,top-eig,-0.002302584485581592,23.51882853201646,0.14270693287543107,0.3809623458360631,0.00021740002557635307
40,5,2,greedy,4.593851994992722e-05,0.0335984767012667,0.9745475925021909,0.2770785035281605,0.0010883999057114124
40,5,2,lasso,-0.0012498872376960099,12.991856053160637,0.6179787058475475,0.7573044463465266,0.015146599966101348
40,5,2,SA-1ch-10k,4.929836762005389e-05,0.0,0.9708996313160103,0.7563905840582745,0.07277379999868572
40,5,3,oracle,0.00013482420660146637,0.0,1.1269545598321478,0.3324905935896527,0.2295234000775963
40,5,3,top-eig,-0.0013511378974752658,14.859621040767323,0.7230864671657218,0.8266056258463228,0.000228899996727705
40,5,3,greedy,0.00013482420660146637,0.0,1.1269545598321478,0.3324905935896527,0.0010485000675544143
40,5,3,lasso,-0.00040710181133035456,5.41926017931821,0.8949028796772137,1.1870707451900733,0.014258099952712655
40,5,3,SA-1ch-10k,0.00013482420660146637,0.0,1.1269545598321478,0.3324905935896527,0.07123420003335923
40,5,4,oracle,0.0002151448101529469,0.0,1.1847613742749896,0.753128064303152,0.23629920009989291
40,5,4,top-eig,-0.0018669121387686477,20.820569489215945,0.2849598374208196,1.093121589075104,0.00022130005527287722
40,5,4,greedy,0.0002151448101529469,0.0,1.1847613742749896,0.753128064303152,0.0010937000624835491
40,5,4,lasso,5.497646725787701e-05,1.601683428950699,1.1370905896777632,0.4879125751477883,0.006750600063242018
40,5,4,SA-1ch-10k,0.0002151448101529469,0.0,1.1847613742749896,0.753128064303152,0.07378279999829829
50,5,0,oracle,0.0001345362847135007,0.0,1.11754935492692,0.7142348552292616,0.7509998000459746
50,5,0,top-eig,-0.0016844300466142483,18.189663313277492,0.5797283196630694,0.19438397715554842,0.00026290002278983593
50,5,0,greedy,0.0001345362847135007,0.0,1.11754935492692,0.7142348552292616,0.0013385000638663769
50,5,0,lasso,-0.00035340920054642653,4.879454852599272,1.0975381364757144,-0.017300073714893074,0.013037099968641996
50,5,0,SA-1ch-10k,0.0001345362847135007,0.0,1.11754935492692,0.7142348552292616,0.07270279992371798
50,5,1,oracle,0.00023549606653517025,0.0,1.2657578286181932,0.5339579227700003,0.7487938000122085
50,5,1,top-eig,-0.00129572768650519,15.3122375304036,0.5785179947990877,0.19200611052845956,0.0002639000304043293
50,5,1,greedy,0.0002237633122655439,0.11732754269626333,1.2729795828674093,0.8004057055906939,0.0013718000845983624
50,5,1,lasso,-0.00033179542250287683,5.672914890380471,0.8331206420563749,0.4868150826378043,0.034913199953734875
50,5,1,SA-1ch-10k,0.00023549606653517025,0.0,1.2657578286181932,0.5339579227700003,0.07468900003004819
50,5,2,oracle,0.00019453515850456822,0.0,1.247298387765326,0.7847103764044001,0.7624414999736473
50,5,2,top-eig,-0.0012663868811249167,14.60922039629485,0.6352544195689827,1.183258106867813,0.0002805000403895974
50,5,2,greedy,0.00016936097498364202,0.25174183520926197,1.1371694536300063,0.11445522508311069,0.001436699996702373
50,5,2,lasso,-0.00026057219755343545,4.551073560580036,0.9850055539286552,0.8591926746895684,0.020527799963019788
50,5,2,SA-1ch-10k,0.00019453515850456822,0.0,1.247298387765326,0.7847103764044001,0.07811640005093068
50,5,3,oracle,0.0001499393441503742,0.0,1.1220622230196033,0.6347998158529832,0.7494718000525609
50,5,3,top-eig,-0.003500042262789598,36.49981606939972,0.02997105951881356,0.7541888789999844,0.00026210001669824123
50,5,3,greedy,0.00013866154027370478,0.11277803876669408,1.0818537882725918,0.8609892744512005,0.00152749998960644
50,5,3,lasso,-0.0021760888676843875,23.260282118347614,0.3617309852899637,0.6264652754390867,0.02773430000524968
50,5,3,SA-1ch-10k,0.0001499393441503742,0.0,1.1220622230196033,0.6347998158529832,0.07414000004064292
50,5,4,oracle,8.356925956850029e-05,0.0,1.040215285532154,0.8747439875423005,0.748065400053747
50,5,4,top-eig,-0.002382500762940957,24.660700225094573,0.22995402099819479,0.9400555441476371,0.00026919995434582233
50,5,4,greedy,7.875640074708312e-05,0.04812858821417174,1.0359091392246746,1.0636969087485961,0.001382300048135221
50,5,4,lasso,-0.0013636420600005744,14.472113195690747,0.6466930987183047,0.9670059272914581,0.031106999958865345
50,5,4,SA-1ch-10k,8.356925956850029e-05,0.0,1.040215285532154,0.8747439875423005,0.07544270006474108
